Title,description,url
3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com/topics
Ajax,Ajax is a technique for creating interactive web applications.,https://github.com/topics
Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics
Amp,Amp is a non-blocking concurrency library for PHP.,https://github.com/topics
Android,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics
Angular,Angular is an open source web application platform.,https://github.com/topics
Ansible,Ansible is a simple and powerful automation engine.,https://github.com/topics
API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics
Arduino,Arduino is an open source platform for building electronic devices.,https://github.com/topics
ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics
Atom,Atom is a open source text editor built with web technologies.,https://github.com/topics
Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics
Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics
Azure,Azure is a cloud computing service created by Microsoft.,https://github.com/topics
Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics
Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics
Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics
Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics
Bot,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics
C,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics
Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics
Chrome extension,Chrome extensions enable users to customize the Chrome browsing experience.,https://github.com/topics
Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics
Clojure,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics
Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics
Code review,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics
Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics
Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics
COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://github.com/topics
C++,C++ is a general purpose and object-oriented programming language.,https://github.com/topics
