username,repo_name,stars,repo_url
public-apis,public-apis,272000,https://github.com/public-apis/public-apis
neovim,neovim,71900,https://github.com/neovim/neovim
tiangolo,fastapi,66000,https://github.com/tiangolo/fastapi
strapi,strapi,57900,https://github.com/strapi/strapi
hoppscotch,hoppscotch,57400,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,52500,https://github.com/ocornut/imgui
slatedocs,slate,35600,https://github.com/slatedocs/slate
Kong,insomnia,31500,https://github.com/Kong/insomnia
hasura,graphql-engine,30500,https://github.com/hasura/graphql-engine
httpie,cli,30500,https://github.com/httpie/cli
trpc,trpc,30400,https://github.com/trpc/trpc
Binaryify,NeteaseCloudMusicApi,29900,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,29800,https://github.com/ccxt/ccxt
encode,django-rest-framework,26800,https://github.com/encode/django-rest-framework
YMFE,yapi,26700,https://github.com/YMFE/yapi
littlecodersh,ItChat,24500,https://github.com/littlecodersh/ItChat
directus,directus,24100,https://github.com/directus/directus
microsoft,api-guidelines,22100,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21600,https://github.com/shieldfy/API-Security-Checklist
PostgREST,postgrest,21500,https://github.com/PostgREST/postgrest
