username,repo_name,stars,repo_url
jwasham,coding-interview-university,273000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,179000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,174000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,169000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,103000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60700,https://github.com/kdn251/interviews
krahets,hello-algo,55900,https://github.com/krahets/hello-algo
TheAlgorithms,Java,55100,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53000,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,45500,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,44000,https://github.com/youngyangyang04/leetcode-master
huihut,interview,31400,https://github.com/huihut/interview
halfrost,LeetCode-Go,31000,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,30100,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,28200,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,26900,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,23200,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22200,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22000,https://github.com/trekhleb/homemade-machine-learning
