username,repo_name,stars,repo_url
flutter,flutter,159000,https://github.com/flutter/flutter
facebook,react-native,113000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,106000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,95600,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,72400,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,49500,https://github.com/Solido/awesome-flutter
google,material-design-icons,49100,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,48000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44800,https://github.com/square/okhttp
android,architecture-samples,43400,https://github.com/android/architecture-samples
square,retrofit,42300,https://github.com/square/retrofit
laurent22,joplin,39900,https://github.com/laurent22/joplin
dcloudio,uni-app,38900,https://github.com/dcloudio/uni-app
appwrite,appwrite,38500,https://github.com/appwrite/appwrite
fastlane,fastlane,38300,https://github.com/fastlane/fastlane
skylot,jadx,37500,https://github.com/skylot/jadx
PhilJay,MPAndroidChart,37000,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,34400,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34300,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,34100,https://github.com/bumptech/glide
