username,repo_name,stars,repo_url
sindresorhus,awesome,282000,https://github.com/sindresorhus/awesome
vinta,awesome-python,191000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,161000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,116000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,113000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,79800,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,78500,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,72400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,65900,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,60500,https://github.com/DopplerHQ/awesome-interview-questions
enaqx,awesome-react,59800,https://github.com/enaqx/awesome-react
MunGell,awesome-for-beginners,59600,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,54000,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,52100,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,51300,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,50100,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,49500,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48000,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44700,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43600,https://github.com/tiimgreen/github-cheat-sheet
