username,repo_name,stars,repo_url
bregman-arie,devops-exercises,59900,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,20500,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,18500,https://github.com/pulumi/pulumi
recommenders-team,recommenders,16900,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14400,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14400,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13500,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,11400,https://github.com/caprover/caprover
infracost,infracost,9800,https://github.com/infracost/infracost
google,go-cloud,9300,https://github.com/google/go-cloud
microsoft,computervision-recipes,9200,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8900,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7300,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,7200,https://github.com/Netflix/metaflow
midwayjs,midway,7000,https://github.com/midwayjs/midway
node-formidable,formidable,6900,https://github.com/node-formidable/formidable
milanm,DevOps-Roadmap,6700,https://github.com/milanm/DevOps-Roadmap
thangchung,clean-code-dotnet,6600,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,6500,https://github.com/budtmo/docker-android
aquasecurity,tfsec,6400,https://github.com/aquasecurity/tfsec
