username,repo_name,stars,repo_url
CyC2018,CS-Notes,169000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,139000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,53000,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,52100,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,44000,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,42200,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,34800,https://github.com/Light-City/CPlusPlusThings
yuzu-emu,yuzu,32400,https://github.com/yuzu-emu/yuzu
carbon-language,carbon-lang,31700,https://github.com/carbon-language/carbon-lang
huihut,interview,31400,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,28900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,28200,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,26900,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,26400,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,22400,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,21800,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21400,https://github.com/ethereum/solidity
gabime,spdlog,20900,https://github.com/gabime/spdlog
microsoft,vcpkg,20400,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,18500,https://github.com/ssloy/tinyrenderer
