username,repo_name,stars,repo_url
localstack,localstack,50500,https://github.com/localstack/localstack
harness,gitness,30800,https://github.com/harness/gitness
jenkinsci,jenkins,21800,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12800,https://github.com/auchenberg/volkswagen
theonedev,onedev,12100,https://github.com/theonedev/onedev
dagger,dagger,9300,https://github.com/dagger/dagger
openshift,origin,8400,https://github.com/openshift/origin
concourse,concourse,7100,https://github.com/concourse/concourse
gocd,gocd,6900,https://github.com/gocd/gocd
milanm,DevOps-Roadmap,6700,https://github.com/milanm/DevOps-Roadmap
gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
buildbot,buildbot,5100,https://github.com/buildbot/buildbot
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4500,https://github.com/jenkins-x/jx
ovh,cds,4300,https://github.com/ovh/cds
JamesIves,github-pages-deploy-action,3900,https://github.com/JamesIves/github-pages-deploy-action
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
iterative,cml,3900,https://github.com/iterative/cml
werf,werf,3800,https://github.com/werf/werf
TheLartians,ModernCppStarter,3800,https://github.com/TheLartians/ModernCppStarter
